,0
0,BTC_BTS
1,BTC_DASH
2,BTC_DOGE
3,BTC_LTC
4,BTC_NXT
5,BTC_STR
6,BTC_XEM
7,BTC_XMR
8,BTC_XRP
9,USDT_BTC
10,USDT_DASH
11,USDT_LTC
12,USDT_STR
13,USDT_XMR
14,USDT_XRP
15,BTC_ETH
16,USDT_ETH
17,BTC_SC
18,BTC_DCR
19,BTC_LSK
20,BTC_STEEM
21,BTC_ETC
22,ETH_ETC
23,USDT_ETC
24,BTC_ARDR
25,BTC_ZEC
26,ETH_ZEC
27,USDT_ZEC
28,BTC_ZRX
29,ETH_ZRX
30,BTC_CVC
31,BTC_OMG
32,BTC_GAS
33,BTC_STORJ
34,BTC_EOS
35,ETH_EOS
36,USDT_EOS
37,BTC_SNT
38,BTC_KNC
39,BTC_BAT
40,USDT_BAT
41,BTC_LOOM
42,USDT_DOGE
43,USDT_LSK
44,USDT_SC
45,USDT_ZRX
46,BTC_QTUM
47,USDT_QTUM
48,USDC_BTC
49,USDC_ETH
50,USDC_USDT
51,BTC_MANA
52,USDT_MANA
53,BTC_BNT
54,BTC_BCHSV
55,USDC_BCHSV
56,USDC_XRP
57,USDC_XMR
58,USDC_STR
59,USDC_DOGE
60,USDC_LTC
61,USDC_ZEC
62,BTC_FOAM
63,BTC_NMR
64,BTC_POLY
65,BTC_LPT
66,BTC_ATOM
67,USDC_ATOM
68,USDT_ATOM
69,USDC_DASH
70,USDC_EOS
71,USDC_ETC
72,USDT_BCHSV
73,BTC_TRX
74,USDC_TRX
75,USDT_TRX
76,TRX_ETH
77,TRX_XRP
78,USDT_BTT
79,TRX_BTT
80,USDT_WIN
81,TRX_WIN
82,TRX_STEEM
83,BTC_LINK
84,TRX_LINK
85,BTC_XTZ
86,USDT_XTZ
87,TRX_XTZ
88,USDT_BEAR
89,USDT_BULL
90,USDT_TRXBEAR
91,USDT_TRXBULL
92,PAX_BTC
93,PAX_ETH
94,USDT_PAX
95,USDT_USDJ
96,USDJ_BTC
97,USDJ_TRX
98,BTC_SNX
99,USDT_SNX
100,TRX_SNX
101,USDT_BSVBEAR
102,USDT_BSVBULL
103,BTC_MATIC
104,USDT_MATIC
105,TRX_MATIC
106,USDT_BCHBEAR
107,USDT_BCHBULL
108,USDT_ETHBEAR
109,USDT_ETHBULL
110,BTC_MKR
111,USDT_MKR
112,USDT_BVOL
113,USDT_IBVOL
114,DAI_BTC
115,DAI_ETH
116,USDT_DAI
117,BTC_NEO
118,USDT_NEO
119,TRX_NEO
120,BTC_SWFTC
121,USDT_SWFTC
122,TRX_SWFTC
123,USDT_JST
124,TRX_JST
125,USDT_BCN
126,USDT_STEEM
127,USDT_LINK
128,USDJ_BTT
129,BTC_AVA
130,USDT_AVA
131,TRX_AVA
132,USDT_XRPBULL
133,USDT_XRPBEAR
134,USDT_EOSBULL
135,USDT_EOSBEAR
136,USDT_LINKBULL
137,USDT_LINKBEAR
138,BTC_CHR
139,USDT_CHR
140,TRX_CHR
141,BNB_BTC
142,USDT_BNB
143,USDT_BUSD
144,TRX_BNB
145,BUSD_BNB
146,BUSD_BTC
147,BTC_MDT
148,USDT_MDT
149,TRX_MDT
150,USDT_BCHC
151,USDT_COMP
152,ETH_COMP
153,BTC_XFIL
154,USDT_XFIL
155,USDT_CUSDT
156,BTC_REN
157,USDT_REN
158,BTC_LRC
159,USDT_LRC
160,USDT_BAL
161,BTC_WRX
162,USDT_WRX
163,TRX_WRX
164,USDT_STAKE
165,USDT_BZRX
166,BTC_SXP
167,USDT_SXP
168,TRX_SXP
169,USDT_MTA
170,USDT_YFI
171,BTC_STPT
172,USDT_STPT
173,USDT_DEC
174,USDT_PLT
175,USDT_UMA
176,USDT_KTON
177,USDT_RING
178,BTC_SWAP
179,USDT_SWAP
180,USDT_TEND
181,BTC_EXE
182,USDT_EXE
183,USDT_TRADE
184,USDT_GEEQ
185,USDT_BAND
186,USDT_DOS
187,USDT_DIA
188,USDT_ZAP
189,USDT_PERX
190,USDT_TRB
191,USDT_DEXT
192,USDT_MCB
193,USDT_CRV
194,USDT_OM
195,USDT_OCEAN
196,USDT_BLY
197,BTC_SWINGBY
198,USDT_SWINGBY
199,TRX_SWINGBY
200,USDT_PRQ
201,USDT_DOT
202,BTC_DMG
203,USDT_DMG
204,TRX_DMG
205,USDT_RSR
206,USDT_WNXM
207,USDT_FCT2
208,BTC_FCT2
209,USDT_SUSHI
210,USDT_YFII
211,USDT_YFL
212,USDT_TAI
213,USDT_PEARL
214,USDT_JFI
215,USDT_CORN
216,USDT_SWRV
217,USDT_FSW
218,USDT_FUND
219,TRX_FUND
220,BTC_FUND
221,USDT_CREAM
222,USDT_SUN
223,USDT_HGET
224,BTC_HGET
225,USDT_AKRO
226,BTC_AKRO
227,USDT_ADEL
228,USDT_UNI
229,USDT_DHT
230,USDT_MEME
231,USDT_CVP
232,USDT_GHST
233,BTC_REPV2
234,USDT_REPV2
235,USDT_RARI
236,USDT_DICE
237,TRX_DICE
238,BTC_AMP
239,USDT_AMP
240,TRX_AMP
241,BTC_SAND
242,USDT_SAND
243,USDT_RFUEL
244,USDT_VALUE
245,USDT_POLS
246,BTC_AAVE
247,USDT_AAVE
248,BTC_BCHA
249,USDT_BCHA
250,BTC_BID
251,USDT_BID
252,BTC_CVT
253,USDT_CVT
254,BTC_INJ
255,USDT_INJ
256,BTC_BCH
257,USDT_BCH
258,USDC_BCH
259,BTC_SENSO
260,USDT_SENSO
261,USDT_KP3R
262,USDT_MPH
263,BTC_GLM
264,USDT_GLM
265,USDT_HEGIC
266,USDT_ZLOT
267,BTC_WBTC
268,USDT_WBTC
269,USDT_NU
270,BTC_FRONT
271,USDT_FRONT
272,USDT_API3
273,USDT_COVER
274,USDT_BADGER
275,BTC_FARM
276,USDT_FARM
277,BTC_DOT
278,USDT_GRT
279,TRX_SUN
280,USDT_XFLR
281,USDT_ESD
282,USDT_ONEINCH
283,USDT_REEF
284,USDT_BAS
285,USDT_BAC
286,USDT_LON
287,USDT_ROOK
288,USDT_TRU
289,USDT_CUDOS
290,USDT_BOND
291,USDT_PBTC35A
292,USDT_COMBO
293,USDT_TUSD
294,USDC_TUSD
295,USDT_ADABEAR
296,USDT_ADABULL
297,USDT_LTCBEAR
298,USDT_LTCBULL
299,USDT_XLMBEAR
300,USDT_XLMBULL
301,USDT_WETH
302,BTC_TRU
303,USDT_FTT
304,USDT_SRM
305,USDT_LPT
306,totalBNB
307,totalBTC
308,totalBUSD
309,totalDAI
310,totalETH
311,totalPAX
312,totalTRX
313,totalTUSD
314,totalUSDC
315,totalUSDJ
316,totalUSDT
317,totalXMR
318,totalXUSD
